acl 2.2.52-3
adwaita-icon-theme 3.22.0-1
alsa-lib 1.1.2-1
alsa-utils 1.1.2-1
archlinux-keyring 20161201-1
at-spi2-atk 2.22.0-1
at-spi2-core 2.22.0-1
atk 2.22+1+gd57f97d-1
attr 2.4.47-2
autoconf 2.69-4
automake 1.15-2
avahi 0.6.32-2
bash 4.4.005-1
binutils 2.27-1
bison 3.0.4-2
btrfs-progs 4.8.5-1
bzip2 1.0.6-5
ca-certificates 20160507-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.27.2-1
ca-certificates-utils 20160507-1
cairo 1.14.6-2
cifs-utils 6.5-1
compositeproto 0.4.2-3
coreutils 8.25-2
cracklib 2.9.6-1
create_ap 0.4.3-1
cryptsetup 1.7.3-1
curl 7.51.0-2
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.14-1
dbus-glib 0.108-1
dconf 0.26.0-2
desktop-file-utils 0.23-1
device-mapper 2.02.168-1
dhcpcd 6.11.3-1
dialog 1:1.3_20160828-1
diffutils 3.5-1
dmenu2 0.2-1
dnsmasq 2.76-3
e2fsprogs 1.43.3-1
efibootmgr 14-2
efivar 30-1
enca 1.19-1
expat 2.2.0-2
fakeroot 1.21-2
feh 2.18-1
ffmpeg 1:3.2.2-1
fftw 3.3.5-1
file 5.29-1
filesystem 2015.09-1
findutils 4.6.0-2
firefox 50.0.2-1
fixesproto 5.0-3
flac 1.3.1-3
flex 2.6.1-1
fontconfig 2.12.1-3
fontsproto 2.1.3-1
freetype2 2.7-2
fribidi 0.19.7-1
gawk 4.1.4-2
gc 7.6.0-1
gcc 6.2.1-1
gcc-libs 6.2.1-1
gdbm 1.12-2
gdk-pixbuf2 2.36.0+2+ga7c869a-3
gettext 0.19.8.1-2
giflib 5.1.4-1
git 2.10.2-1
glib2 2.50.2-1
glibc 2.24-2
gmp 6.1.1-1
gnupg 2.1.16-1
gnutls 3.4.16-1
gpgme 1.7.1-2
gpm 1.20.7-7
gradm 3.1.201608131257-1
graphite 1:1.3.9-1
grep 2.26-1
groff 1.22.3-7
grsec-common 4-1
gsm 1.0.14-1
gtk-update-icon-cache 3.22.4-1
gtk2 2.24.31-1
gtk3 3.22.4-1
guile 2.0.13-2
gzip 1.8-2
harfbuzz 1.3.4-1
haveged 1.9.1-2
hdf5 1.10.0_patch1-1
hicolor-icon-theme 0.15-1
hostapd 2.6-3
hunspell 1.5.4-1
hwids 20161103-1
iana-etc 20161101-1
icu 58.1-2
